# short label	CvObject's full name	CvObject's type	MI reference	annotation's CvTopic.shortlabel	exclusion reason (Annotation's text)	apply to children	short exclusion reason			Sam's comment
 experimental prep	 experimental preparation	CV experimental preparation - root	MI:0346	hidden	Root term deprecated during manual curation as too unspecific. 	TRUE	root term-1			This is not yet stored in IntAct
 # ppi	 protein-protein interactions	obo file root	MI:0000	hidden	Root term deprecated during manual curation as too unspecific. 	FALSE	root term-0			This is not stored in IntAct
 alias type	 alias type	uk.ac.ebi.intact.model.CvAliasType	MI:0300	hidden	Root term deprecated during manual curation as too unspecific. 	FALSE	root term-1			
 biological role	 biological role	uk.ac.ebi.intact.model.CvComponentRole	MI:0500	hidden	Root term deprecated during manual curation as too unspecific. 	FALSE	root term-1			
 experimental role	 experimental role	uk.ac.ebi.intact.model.CvComponentRole	MI:0495	hidden	Root term deprecated during manual curation as too unspecific. 	FALSE	root term-1			
 entrezgene/locuslink	 entrez gene/locuslink	uk.ac.ebi.intact.model.CvDatabase	MI:0477	hidden	Term currently not used in IntAct as this database is not cross referenced.		db not used in IntAct			children was TRUE
 chebi	 chebi	uk.ac.ebi.intact.model.CvDatabase	MI:0474	hidden	Term currently not used in IntAct as this database is not cross referenced.		db not used in IntAct			children was TRUE
 ddbj/embl/genbank	 ddbj/embl/genbank	uk.ac.ebi.intact.model.CvDatabase	MI:0475	hidden	Term currently not used in IntAct as this database is not cross referenced.		db not used in IntAct			children was TRUE
 msd	 msd	uk.ac.ebi.intact.model.CvDatabase	MI:0472	hidden	Term currently not used in IntAct as this database is not cross referenced.		db not used in IntAct			children was TRUE
 participant xref	 participant database xref	uk.ac.ebi.intact.model.CvDatabase	MI:0473	hidden	Root term deprecated during manual curation as too unspecific. 	FALSE	root term-1			
 kegg	 kegg	uk.ac.ebi.intact.model.CvDatabase	MI:0470	hidden	Term currently not used in IntAct as this database is not cross referenced.		db not used in IntAct			children was TRUE
Mint	Mint	uk.ac.ebi.intact.model.CvDatabase	MI:0471	hidden	Term currently not used in IntAct as this database is not cross referenced.		db not used in IntAct			children was TRUE
 mgd/mgi	 mgd/mgi	uk.ac.ebi.intact.model.CvDatabase	MI:0479	hidden	Term currently not used in IntAct as this database is not cross referenced.		db not used in IntAct			children was TRUE
 source database xref	 source database xref	uk.ac.ebi.intact.model.CvDatabase	MI:0489	hidden	Root term deprecated during manual curation as too unspecific. 	FALSE	root term-2			
 rgd	 rgd	uk.ac.ebi.intact.model.CvDatabase	MI:0483	hidden	Term currently not used in IntAct as this database is not cross referenced.		db not used in IntAct			children was TRUE
 rfam	 rfam	uk.ac.ebi.intact.model.CvDatabase	MI:0482	hidden	Term currently not used in IntAct as this database is not cross referenced.		db not used in IntAct			children was TRUE
 refseq	 refseq	uk.ac.ebi.intact.model.CvDatabase	MI:0481	hidden	Term currently not used in IntAct as this database is not cross referenced.		db not used in IntAct			children was TRUE
 wormbase	 wormbase	uk.ac.ebi.intact.model.CvDatabase	MI:0487	hidden	Term currently not used in IntAct as this database is not cross referenced.		db not used in IntAct			children was TRUE
 feature xref	 feature database xref	uk.ac.ebi.intact.model.CvDatabase	MI:0447	hidden	Root term deprecated during manual curation as too unspecific. 	FALSE	root term-2			
 experiment xref	 experiment database xref	uk.ac.ebi.intact.model.CvDatabase	MI:0445	hidden	Root term deprecated during manual curation as too unspecific. 	FALSE	root term-2			
 database citation	 database citation	uk.ac.ebi.intact.model.CvDatabase	MI:0444	hidden	Root term deprecated during manual curation as too unspecific. 	FALSE	root term-1			
 tigrfams	 tigrfams	uk.ac.ebi.intact.model.CvDatabase	MI:0458	hidden	Term currently not used in IntAct as this database is not cross referenced.		db not used in IntAct			children was TRUE
 mmdb	 mmdb	uk.ac.ebi.intact.model.CvDatabase	MI:0459	hidden	Term currently not used in IntAct as this database is not cross referenced.		db not used in IntAct			children was TRUE
 prodom	 prodom	uk.ac.ebi.intact.model.CvDatabase	MI:0454	hidden	Term currently not used in IntAct as this database is not cross referenced.		db not used in IntAct			children was TRUE
 prosite	 prosite	uk.ac.ebi.intact.model.CvDatabase	MI:0455	hidden	Term currently not used in IntAct as this database is not cross referenced.		db not used in IntAct			children was TRUE
 scop superfamily	 scop superfamily	uk.ac.ebi.intact.model.CvDatabase	MI:0456	hidden	Term currently not used in IntAct as this database is not cross referenced.		db not used in IntAct			children was TRUE
 smart	 smart	uk.ac.ebi.intact.model.CvDatabase	MI:0457	hidden	Term currently not used in IntAct as this database is not cross referenced.		db not used in IntAct			children was TRUE
 cdd	 cdd	uk.ac.ebi.intact.model.CvDatabase	MI:0450	hidden	Term currently not used in IntAct as this database is not cross referenced.		db not used in IntAct			children was TRUE
 pfam	 pfam	uk.ac.ebi.intact.model.CvDatabase	MI:0451	hidden	Term currently not used in IntAct as this database is not cross referenced.		db not used in IntAct			children was TRUE
 pirsf	 pirsf	uk.ac.ebi.intact.model.CvDatabase	MI:0452	hidden	Term currently not used in IntAct as this database is not cross referenced.		db not used in IntAct			children was TRUE
 prints	 prints	uk.ac.ebi.intact.model.CvDatabase	MI:0453	hidden	Term currently not used in IntAct as this database is not cross referenced.		db not used in IntAct			children was TRUE
 hprd	 hprd	uk.ac.ebi.intact.model.CvDatabase	MI:0468	hidden	Term currently not used in IntAct as this database is not cross referenced.		db not used in IntAct			children was TRUE
 interaction xref	 interaction database xref	uk.ac.ebi.intact.model.CvDatabase	MI:0461	hidden	Root term deprecated during manual curation as too unspecific. 	FALSE	root term-1			
 grid	 grid	uk.ac.ebi.intact.model.CvDatabase	MI:0463	hidden	Term currently not used in IntAct as this database is not cross referenced.		db not used in IntAct			children was TRUE
 bind	 bind	uk.ac.ebi.intact.model.CvDatabase	MI:0462	hidden	Term currently not used in IntAct as this database is not cross referenced.		db not used in IntAct			children was TRUE
 reactome	 reactome	uk.ac.ebi.intact.model.CvDatabase	MI:0467	hidden	Term currently not used in IntAct as this database is not cross referenced.		db not used in IntAct			children was TRUE
 ecocyc	 ecocyc	uk.ac.ebi.intact.model.CvDatabase	MI:0466	hidden	Term currently not used in IntAct as this database is not cross referenced.		db not used in IntAct			children was TRUE
feature detection	feature detection	uk.ac.ebi.intact.model.CvFeatureIdentification	MI:0003	hidden	Root term deprecated during manual curation as too unspecific. 	FALSE	root term-1			
interface predictor	neural network on interface properties	uk.ac.ebi.intact.model.CvFeatureIdentification	MI:0076	hidden	Term currently not used in IntAct as interaction predictions are not curated.	TRUE	prediction			
domain profile pairs	domain profile pairs	uk.ac.ebi.intact.model.CvFeatureIdentification	MI:0037	hidden	Term currently not used in IntAct as interaction predictions are not curated.	TRUE	prediction			
docking	docking	uk.ac.ebi.intact.model.CvFeatureIdentification	MI:0035	hidden	Term currently not used in IntAct as interaction predictions are not curated.	TRUE	prediction			
correlated mutations	correlated mutations	uk.ac.ebi.intact.model.CvFeatureIdentification	MI:0026	hidden	Term currently not used in IntAct as interaction predictions are not curated.	TRUE	prediction			
surface patches	surface patches	uk.ac.ebi.intact.model.CvFeatureIdentification	MI:0106	hidden	Term currently not used in IntAct as interaction predictions are not curated.	TRUE	prediction			
feature type	feature type	uk.ac.ebi.intact.model.CvFeatureType	MI:0116	hidden	Root term deprecated during manual curation as too unspecific. 	FALSE	root term-1			
 feature range status	 feature range status	uk.ac.ebi.intact.model.CvFuzzyType	MI:0333	hidden	Root term deprecated during manual curation as too unspecific. 	FALSE	root term-1			
participant identif	participant identification method	uk.ac.ebi.intact.model.CvIdentification	MI:0002	hidden	Root term deprecated during manual curation as too unspecific. 	FALSE	root term-1			
prediction	prediction	uk.ac.ebi.intact.model.CvInteraction	MI:0063	hidden	Term currently not used in IntAct as interaction predictions are not curated.	TRUE	prediction			
interaction detectio	interaction detection	uk.ac.ebi.intact.model.CvInteraction	MI:0001	hidden	Root term deprecated during manual curation as too unspecific. 	FALSE	root term-1			
 rna tri hybrid	 rna tri hybrid	uk.ac.ebi.intact.model.CvInteraction	MI:0438	hidden	Term currently not used in IntAct as nucleic acid interactions are not curated.	TRUE	nucleic acid interaction			
 nucl ac uv crosslink	 nucleic acid uv cross-linking assay	uk.ac.ebi.intact.model.CvInteraction	MI:0430	hidden	Term currently not used in IntAct as nucleic acid interactions are not curated.	TRUE	nucleic acid interaction			
 genetic interaction	 genetic interaction	uk.ac.ebi.intact.model.CvInteraction	MI:0208	hidden	Term currently not used  in IntAct as genetic interactions are not curated.	TRUE	genetic interaction			
 one hybrid	 one hybrid	uk.ac.ebi.intact.model.CvInteraction	MI:0432	hidden	Term currently not used in IntAct as nucleic acid interactions are not curated.	TRUE	nucleic acid interaction			
 ch-ip	 chromatin immunoprecipitation assays	uk.ac.ebi.intact.model.CvInteraction	MI:0402	hidden	Term currently not used in IntAct as nucleic acid interactions are not curated.	TRUE	nucleic acid interaction			
 dna footprinting	 dna footprinting	uk.ac.ebi.intact.model.CvInteraction	MI:0409	hidden	Term currently not used in IntAct as nucleic acid interactions are not curated.	TRUE	nucleic acid interaction			
 chip-chip	 chromatin immunoprecipitation array	uk.ac.ebi.intact.model.CvInteraction	MI:0225	hidden	Term currently not used in IntAct as nucleic acid interactions are not curated.	TRUE	nucleic acid interaction			
 emsa supershift	 electrophoretic mobility supershift assay	uk.ac.ebi.intact.model.CvInteraction	MI:0412	hidden	Term currently not used in IntAct as nucleic acid interactions are not curated.	TRUE	nucleic acid interaction			
 emsa	 electrophoretic mobility shift assay	uk.ac.ebi.intact.model.CvInteraction	MI:0413	hidden	Term currently not used in IntAct as nucleic acid interactions are not curated.	TRUE	nucleic acid interaction			
coloc immunostaining	colocalization by immunostaining	uk.ac.ebi.intact.model.CvInteraction	MI:0022	obsolete term	OBSOLETE since combination of Interaction Detection Method and Interaction Type. Consider using the Interaction Detection Method “imaging techniques”  (MI:0428) coupled with Interaction Type “colocalisation” (MI:0401) and  Participant detection “immunostaining” (MI:0402) instead	FALSE	Terms already updated as obsolete in IntAct			
coloc visual technol	colocalization/visualisation technologies	uk.ac.ebi.intact.model.CvInteraction	MI:0023	obsolete term	OBSOLETE. Consider using “imaging techniques” MI:0428 as interaction detection method coupled with MI:0401 “colocalisation” as interaction type and MI:0396 “predetermined” as participant detection.	FALSE	Terms already updated as obsolete in IntAct			
copurification	copurification	uk.ac.ebi.intact.model.CvInteraction	MI:0025	obsolete term	OBSOLETE since too non-specific. Consider use of “cosedimentation” (MI:0027) or “comigration in non denaturing gel electrophoresis “ (MI:0404) or “affinity chromatography technologies “ (MI:0004) or “molecular sieving”  (MI:0071) or for unspecific cases “biochemical” (MI:0401).	FALSE	Terms already updated as obsolete in IntAct			
flag tag coip	flag tag coimmunoprecipitation 	uk.ac.ebi.intact.model.CvInteraction	MI:0050	obsolete term	OBSOLETE redundant term. Map to Experimental form: “flag-tagged” (MI:0518) and Interaction detection method: “anti tag coimmunoprecipitation” (MI:0007).	FALSE	Terms already updated as obsolete in IntAct			
gst pull down 	gst pull down 	uk.ac.ebi.intact.model.CvInteraction	MI:0059	obsolete term	OBSOLETE redundant term. Map to Experimental form: “gst-tagged” (MI:0519) and Interaction detection method: “pull down”  (MI:0096).	FALSE	Terms already updated as obsolete in IntAct			
ha tag coip	ha tag coimmunoprecipitation 	uk.ac.ebi.intact.model.CvInteraction	MI:0060	obsolete term	OBSOLETE redundant term. Map to Experimental form: “ha-tagged” (MI:0520) and Interaction detection method: “anti tag coimmunoprecipitation”  (MI:0007).	FALSE	Terms already updated as obsolete in IntAct			
his pull down	his pull down	uk.ac.ebi.intact.model.CvInteraction	MI:0061	obsolete term	OBSOLETE redundant term. Map to Experimental form: “his-tagged” (MI:0521) and Interaction detection method: “pull down”  (MI:0096).	FALSE	Terms already updated as obsolete in IntAct			
his tag coip	his tag coimmunoprecipitation	uk.ac.ebi.intact.model.CvInteraction	MI:0062	obsolete term	OBSOLETE redundant term. Map to Experimental form: “his-tagged” (MI:0521) and Interaction detection method: “anti tag coimmunoprecipitation” (MI:0007).	FALSE	Terms already updated as obsolete in IntAct			
myc tag coip	myc tag coimmunoprecipitation 	uk.ac.ebi.intact.model.CvInteraction	MI:0075	obsolete term	OBSOLETE redundant term. Map to Experimental form: “myc-tagged” (MI:0522) and Interaction detection method: “anti tag coimmunoprecipitation”  (MI:0007).	FALSE	Terms already updated as obsolete in IntAct			
other biochemic tech	other biochemical technologies 	uk.ac.ebi.intact.model.CvInteraction	MI:0079	obsolete term	OBSOLETE use “biochemical” (MI:0401) instead.	FALSE	Terms already updated as obsolete in IntAct			
tap tag coip	tap tag coimmunoprecipitation	uk.ac.ebi.intact.model.CvInteraction	MI:0109	obsolete term	OBSOLETE redundant term. Map to Experimental form: “tap-tagged” (MI:0524) and Interaction detection method: “anti tag coimmunoprecipitation” (MI:0007).	FALSE	Terms already updated as obsolete in IntAct			
genetic interaction	genetic interaction	uk.ac.ebi.intact.model.CvInteractionType	MI:0208	hidden	Term currently not used  in IntAct as genetic interactions are not curated.	TRUE	genetic interaction			
demyristoylation	demyristoylation	uk.ac.ebi.intact.model.CvInteractionType	MI:0201	hidden	Term currently not used in IntAct.	TRUE	Term not used in IntAct.			
degeranylation	degeranylation	uk.ac.ebi.intact.model.CvInteractionType	MI:0200	hidden	Term currently not used in IntAct.	TRUE	Term not used in IntAct.			
interaction type	interaction type	uk.ac.ebi.intact.model.CvInteractionType	MI:0190	hidden	Root term deprecated during manual curation as too unspecific. 	FALSE	root term-1			
ubiquitin binding	 ubiquitin binding	uk.ac.ebi.intact.model.CvInteractionType	MI:0443	obsolete term	"OBSOLETE remap to ""ubiquitination reaction"" (MI:0220) or describe ubiquitine as a participant on the interaction using ""physical interaction"" or ""covalent binding"" as interaction type."	FALSE	obsolete to be loaded in IntAct			
aggregation	aggregation	uk.ac.ebi.intact.model.CvInteractionType	MI:0191	obsolete term	OBSOLETE - since too non-specific. Consider using  “physical interaction” (MI:0218 )instead.	FALSE	Terms already updated as obsolete in IntAct			
covalent interaction	covalent interaction	uk.ac.ebi.intact.model.CvInteractionType	MI:0196	obsolete term	OBSOLETE use “covalent binding” (MI:0195) instead	FALSE	Terms already updated as obsolete in IntAct			
disaggregation	disaggregation	uk.ac.ebi.intact.model.CvInteractionType	MI:0205	obsolete term	OBSOLETE because considered misleading.	FALSE	Terms already updated as obsolete in IntAct			
non covalent inter	non covalent interaction 	uk.ac.ebi.intact.model.CvInteractionType	MI:0215	obsolete term	OBSOLETE use “physical interaction” (MI:0218) instead.	FALSE	Terms already updated as obsolete in IntAct			
 protein	 protein	uk.ac.ebi.intact.model.CvInteractorType	MI:0326	hidden	Term currently not used during manual curation as they are automatically assigned.	TRUE	automatic assignment			update type( CV interactor type )
 peptide	 peptide	uk.ac.ebi.intact.model.CvInteractorType	MI:0327	hidden	Term currently not used during manual curation as they are automatically assigned.	TRUE	automatic assignment			update type( CV interactor type )
 mrna	 messenger ribonucleic acid	uk.ac.ebi.intact.model.CvInteractorType	MI:0324	hidden	Term currently not used during manual curation as they are automatically assigned.	TRUE	automatic assignment			update type( CV interactor type )
 trna	 transfer ribonucleic acid	uk.ac.ebi.intact.model.CvInteractorType	MI:0325	hidden	Term currently not used during manual curation as they are automatically assigned.	TRUE	automatic assignment			update type( CV interactor type )
 grna	 guide rna	uk.ac.ebi.intact.model.CvInteractorType	MI:0322	hidden	Term currently not used during manual curation as they are automatically assigned.	TRUE	automatic assignment			update type( CV interactor type )
 hnrna	 heterogeneous nuclear ribonucleic acid	uk.ac.ebi.intact.model.CvInteractorType	MI:0323	hidden	Term currently not used during manual curation as they are automatically assigned.	TRUE	automatic assignment			update type( CV interactor type )
 rna	 ribonucleic acid	uk.ac.ebi.intact.model.CvInteractorType	MI:0320	hidden	Term currently not used during manual curation as they are automatically assigned.	TRUE	automatic assignment			update type( CV interactor type )
 crna	 catalytic rna	uk.ac.ebi.intact.model.CvInteractorType	MI:0321	hidden	Term currently not used during manual curation as they are automatically assigned.	TRUE	automatic assignment			update type( CV interactor type )
 small molecule	 small molecule	uk.ac.ebi.intact.model.CvInteractorType	MI:0328	hidden	Term currently not used during manual curation as they are automatically assigned.	TRUE	automatic assignment			update type( CV interactor type )
 unknown participant	 unknown participant	uk.ac.ebi.intact.model.CvInteractorType	MI:0329	hidden	Term currently not used during manual curation as they are automatically assigned.	TRUE	automatic assignment			update type( CV interactor type )
 ribonucleoprot compl	 ribonucleoprotein complex	uk.ac.ebi.intact.model.CvInteractorType	MI:0316	hidden	Term currently not used during manual curation as they are automatically assigned.	TRUE	automatic assignment			update type( CV interactor type )
 dna	 deoxyribonucleic acid	uk.ac.ebi.intact.model.CvInteractorType	MI:0319	hidden	Term currently not used during manual curation as they are automatically assigned.	TRUE	automatic assignment			update type( CV interactor type )
 nucleic acid	 nucleic acid	uk.ac.ebi.intact.model.CvInteractorType	MI:0318	hidden	Term currently not used during manual curation as they are automatically assigned.	TRUE	automatic assignment			update type( CV interactor type )
 interaction	 interaction	uk.ac.ebi.intact.model.CvInteractorType	MI:0317	hidden	Term currently not used during manual curation as they are automatically assigned.	TRUE	automatic assignment			update type( CV interactor type )
 protein complex	 protein complex	uk.ac.ebi.intact.model.CvInteractorType	MI:0315	hidden	Term currently not used during manual curation as they are automatically assigned.	TRUE	automatic assignment			update type( CV interactor type )
 complex	 complex	uk.ac.ebi.intact.model.CvInteractorType	MI:0314	hidden	Term currently not used during manual curation as they are automatically assigned.	TRUE	automatic assignment			update type( CV interactor type )
 interactor type	 interactor type	uk.ac.ebi.intact.model.CvInteractorType	MI:0313	hidden	Root term deprecated during manual curation as too unspecific. 	TRUE	root term-1			update type( CV interactor type )
 polymer	 polymer	uk.ac.ebi.intact.model.CvInteractorType	MI:0383	hidden	Term currently not used during manual curation as they are automatically assigned.	TRUE	automatic assignment			update type( CV interactor type )
 protein dna complex	 protein dna complex	uk.ac.ebi.intact.model.CvInteractorType	MI:0233	hidden	Term currently not used during manual curation as they are automatically assigned.	TRUE	automatic assignment			update type( CV interactor type )
obsolete 	obsolete 	uk.ac.ebi.intact.model.CvTopic	MI:0431	obsolete term	OBSOLETE as the term was used to group obsolete term in dag def format and it is no more needed as the flagging of obsolete terms is now fully described in the obo format. 	FALSE	obsolete to be loaded in IntAct			added type (CvTopic)
 xref type	cross-reference type	uk.ac.ebi.intact.model.CvXrefQualifier	MI:0353	hidden	Root term deprecated during manual curation as too unspecific. 	FALSE	root term-1			
