ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Experimental role(s) interactor A	Experimental role(s) interactor B	Biological role(s) interactor A	Biological role(s) interactor B	Properties interactor A	Properties interactor B	Type(s) interactor A	Type(s) interactor B	HostOrganism(s)	Expansion method(s)	Dataset name(s)
uniprotkb:O23479|intact:EBI-1547917	uniprotkb:Q38919|intact:EBI-1548187	uniprotkb:dl4200c(gene name)	uniprotkb:ARAC4(gene name)	intact:AT4g16340	intact:ROP2|intact:T20H2.12|intact:At1g20090	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1548198	-	MI:0496(bait)	MI:0498(prey)	MI:0499(unspecified role)	MI:0499(unspecified role)	interpro:IPR010703	interpro:IPR003578|interpro:IPR013753|interpro:IPR001806|interpro:IPR005225	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:Q9XGU0|intact:EBI-1548051	uniprotkb:Q5XPK0|intact:EBI-1547905	uniprotkb:ARAC9(gene name)	-	intact:ROP8|intact:F16B22.18|intact:At2g44690	intact:F28J12.260|intact:At4g18600	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1548174	-	MI:0496(bait)	MI:0498(prey)	MI:0499(unspecified role)	MI:0499(unspecified role)	interpro:IPR001806|interpro:IPR005225|uniprotkb:O80508|interpro:IPR003578|interpro:IPR013753	uniprotkb:O49528	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:O82481|intact:EBI-1548072	uniprotkb:Q5XPJ6|intact:EBI-1548147	uniprotkb:ARAC10(gene name)	uniprotkb:SCAR4(gene name)	intact:ROP11|intact:MQB2.20|intact:MQB2.180|intact:At5g62880	intact:F7A7.250|intact:At5g01730	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1548166	-	MI:0496(bait)	MI:0498(prey)	MI:0499(unspecified role)	MI:0499(unspecified role)	interpro:IPR003578|interpro:IPR013753|interpro:IPR001806|interpro:IPR005225	uniprotkb:Q9LCZ7	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:Q9SBJ6|intact:EBI-1548024	uniprotkb:Q5XPJ6|intact:EBI-1548147	uniprotkb:ARAC6(gene name)	uniprotkb:SCAR4(gene name)	intact:T19K4.80|intact:RAC2|intact:ROP5|intact:F4B14_220|intact:At4g35950	intact:F7A7.250|intact:At5g01730	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1548159	-	MI:0496(bait)	MI:0498(prey)	MI:0499(unspecified role)	MI:0499(unspecified role)	uniprotkb:O65632|interpro:IPR003578|interpro:IPR013753|interpro:IPR001806|interpro:IPR005225	uniprotkb:Q9LCZ7	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:Q5XPJ6|intact:EBI-1548147	uniprotkb:O23479|intact:EBI-1547917	uniprotkb:SCAR4(gene name)	uniprotkb:dl4200c(gene name)	intact:F7A7.250|intact:At5g01730	intact:AT4g16340	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1548155	-	MI:0498(prey)	MI:0496(bait)	MI:0499(unspecified role)	MI:0499(unspecified role)	uniprotkb:Q9LCZ7	interpro:IPR010703	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:Q9XGU0|intact:EBI-1548051	uniprotkb:Q9LP46|intact:EBI-1547699	uniprotkb:ARAC9(gene name)	uniprotkb:SCAR3(gene name)	intact:ROP8|intact:F16B22.18|intact:At2g44690	intact:F28N24.14|intact:At1g29170	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1548142	-	MI:0496(bait)	MI:0498(prey)	MI:0499(unspecified role)	MI:0499(unspecified role)	interpro:IPR001806|interpro:IPR005225|uniprotkb:O80508|interpro:IPR003578|interpro:IPR013753	-	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:Q9LP46|intact:EBI-1547699	uniprotkb:O23479|intact:EBI-1547917	uniprotkb:SCAR3(gene name)	uniprotkb:dl4200c(gene name)	intact:F28N24.14|intact:At1g29170	intact:AT4g16340	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1548138	-	MI:0498(prey)	MI:0496(bait)	MI:0499(unspecified role)	MI:0499(unspecified role)	-	interpro:IPR010703	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:Q9M3A3|intact:EBI-1547669	uniprotkb:Q5S2C4|intact:EBI-1547830	uniprotkb:ABIL2(gene name)	uniprotkb:NAP1(gene name)	intact:F2K15.150|intact:At3g49290	intact:GRL|intact:NAP|intact:NAPP|intact:T4C15.22|intact:At2g35110	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1547883	-	MI:0496(bait)	MI:0498(prey)	MI:0499(unspecified role)	MI:0499(unspecified role)	uniprotkb:Q8GXQ1	uniprotkb:O82180|uniprotkb:Q66GU3|uniprotkb:Q6BDH4|go:GO:0005515	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:Q5XPJ9|intact:EBI-1547795	uniprotkb:O82481|intact:EBI-1548072	uniprotkb:SCAR2(gene name)	uniprotkb:ARAC10(gene name)	intact:DIS3|intact:ITB1|intact:T19C21.7|intact:At2g38440	intact:ROP11|intact:MQB2.20|intact:MQB2.180|intact:At5g62880	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1548111	-	MI:0498(prey)	MI:0496(bait)	MI:0499(unspecified role)	MI:0499(unspecified role)	uniprotkb:O80907|interpro:IPR003124	interpro:IPR003578|interpro:IPR013753|interpro:IPR001806|interpro:IPR005225	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:Q9SBJ6|intact:EBI-1548024	uniprotkb:Q5XPJ9|intact:EBI-1547795	uniprotkb:ARAC6(gene name)	uniprotkb:SCAR2(gene name)	intact:T19K4.80|intact:RAC2|intact:ROP5|intact:F4B14_220|intact:At4g35950	intact:DIS3|intact:ITB1|intact:T19C21.7|intact:At2g38440	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1548096	-	MI:0496(bait)	MI:0498(prey)	MI:0499(unspecified role)	MI:0499(unspecified role)	uniprotkb:O65632|interpro:IPR003578|interpro:IPR013753|interpro:IPR001806|interpro:IPR005225	uniprotkb:O80907|interpro:IPR003124	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:Q6AWX6|intact:EBI-1547775	uniprotkb:O82481|intact:EBI-1548072	uniprotkb:SCAR1(gene name)	uniprotkb:ARAC10(gene name)	intact:T14G11.27|intact:At2g34150	intact:ROP11|intact:MQB2.20|intact:MQB2.180|intact:At5g62880	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1548084	-	MI:0498(prey)	MI:0496(bait)	MI:0499(unspecified role)	MI:0499(unspecified role)	uniprotkb:O22968|uniprotkb:Q56WS5|uniprotkb:Q5XPJ7|uniprotkb:Q84WP7	interpro:IPR003578|interpro:IPR013753|interpro:IPR001806|interpro:IPR005225	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:Q6AWX6|intact:EBI-1547775	uniprotkb:Q9XGU0|intact:EBI-1548051	uniprotkb:SCAR1(gene name)	uniprotkb:ARAC9(gene name)	intact:T14G11.27|intact:At2g34150	intact:ROP8|intact:F16B22.18|intact:At2g44690	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1548063	-	MI:0498(prey)	MI:0496(bait)	MI:0499(unspecified role)	MI:0499(unspecified role)	uniprotkb:O22968|uniprotkb:Q56WS5|uniprotkb:Q5XPJ7|uniprotkb:Q84WP7	interpro:IPR001806|interpro:IPR005225|uniprotkb:O80508|interpro:IPR003578|interpro:IPR013753	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:Q6AWX6|intact:EBI-1547775	uniprotkb:Q9SBJ6|intact:EBI-1548024	uniprotkb:SCAR1(gene name)	uniprotkb:ARAC6(gene name)	intact:T14G11.27|intact:At2g34150	intact:T19K4.80|intact:RAC2|intact:ROP5|intact:F4B14_220|intact:At4g35950	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1548038	-	MI:0498(prey)	MI:0496(bait)	MI:0499(unspecified role)	MI:0499(unspecified role)	uniprotkb:O22968|uniprotkb:Q56WS5|uniprotkb:Q5XPJ7|uniprotkb:Q84WP7	uniprotkb:O65632|interpro:IPR003578|interpro:IPR013753|interpro:IPR001806|interpro:IPR005225	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:Q6AWX6|intact:EBI-1547775	uniprotkb:O23479|intact:EBI-1547917	uniprotkb:SCAR1(gene name)	uniprotkb:dl4200c(gene name)	intact:T14G11.27|intact:At2g34150	intact:AT4g16340	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1548020	-	MI:0498(prey)	MI:0496(bait)	MI:0499(unspecified role)	MI:0499(unspecified role)	uniprotkb:O22968|uniprotkb:Q56WS5|uniprotkb:Q5XPJ7|uniprotkb:Q84WP7	interpro:IPR010703	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:Q6AWX6|intact:EBI-1547775	uniprotkb:Q94JY4|intact:EBI-1547691	uniprotkb:SCAR1(gene name)	uniprotkb:BRK1(gene name)	intact:T14G11.27|intact:At2g34150	intact:T9I22.8|intact:At2g22640	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1548006	-	MI:0496(bait)	MI:0498(prey)	MI:0499(unspecified role)	MI:0499(unspecified role)	uniprotkb:O22968|uniprotkb:Q56WS5|uniprotkb:Q5XPJ7|uniprotkb:Q84WP7	uniprotkb:Q9ZQ49	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:O23479|intact:EBI-1547917	uniprotkb:Q9FHY1|intact:EBI-1547680	uniprotkb:dl4200c(gene name)	uniprotkb:ABIL4(gene name)	intact:AT4g16340	intact:MJC20.13|intact:At5g42030	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1547997	-	MI:0496(bait)	MI:0498(prey)	MI:0499(unspecified role)	MI:0499(unspecified role)	interpro:IPR010703	uniprotkb:Q8LG96	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:Q9M117|intact:EBI-1547822	uniprotkb:Q2V3I8|intact:EBI-1547718	uniprotkb:AT4g01710(gene name)	-	-	intact:At4g14147	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1547818	-	MI:0496(bait)	MI:0498(prey)	MI:0499(unspecified role)	MI:0499(unspecified role)	go:GO:0005856|go:GO:0030833|interpro:IPR006789	go:GO:0005856|go:GO:0030041|interpro:IPR008384	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:O80764|intact:EBI-1547752	uniprotkb:Q9LP46|intact:EBI-1547699	uniprotkb:T13D8.30(gene name)	uniprotkb:SCAR3(gene name)	-	intact:F28N24.14|intact:At1g29170	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1547811	-	MI:0498(prey)	MI:0496(bait)	MI:0499(unspecified role)	MI:0499(unspecified role)	go:GO:0005856|go:GO:0030833|interpro:IPR007204	-	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:Q9M3A3|intact:EBI-1547669	uniprotkb:O80764|intact:EBI-1547752	uniprotkb:ABIL2(gene name)	uniprotkb:T13D8.30(gene name)	intact:F2K15.150|intact:At3g49290	-	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1547767	-	MI:0496(bait)	MI:0498(prey)	MI:0499(unspecified role)	MI:0499(unspecified role)	uniprotkb:Q8GXQ1	go:GO:0005856|go:GO:0030833|interpro:IPR007204	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:O80764|intact:EBI-1547752	uniprotkb:Q8S8M5|intact:EBI-1547655	uniprotkb:T13D8.30(gene name)	uniprotkb:ABIL1(gene name)	-	intact:At2g46225	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1547763	-	MI:0498(prey)	MI:0496(bait)	MI:0499(unspecified role)	MI:0499(unspecified role)	go:GO:0005856|go:GO:0030833|interpro:IPR007204	uniprotkb:Q8GWF6	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:Q9SJW6|intact:EBI-1547725	uniprotkb:Q2V3I8|intact:EBI-1547718	-	-	intact:At2g31300	intact:At4g14147	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1547732	-	MI:0498(prey)	MI:0496(bait)	MI:0499(unspecified role)	MI:0499(unspecified role)	interpro:IPR001680|go:GO:0005737|go:GO:0005634	go:GO:0005856|go:GO:0030041|interpro:IPR008384	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:Q9LP46|intact:EBI-1547699	uniprotkb:Q9SAF1|intact:EBI-1547641	uniprotkb:SCAR3(gene name)	uniprotkb:F3F19.20(gene name)	intact:F28N24.14|intact:At1g29170	intact:ARP3|intact:At1g13180	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1547706	-	MI:0496(bait)	MI:0498(prey)	MI:0499(unspecified role)	MI:0499(unspecified role)	-	interpro:IPR015623|go:GO:0005515|interpro:IPR004000	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:Q9M3A3|intact:EBI-1547669	uniprotkb:Q9SAF1|intact:EBI-1547641	uniprotkb:ABIL2(gene name)	uniprotkb:F3F19.20(gene name)	intact:F2K15.150|intact:At3g49290	intact:ARP3|intact:At1g13180	MI:0018(2 hybrid)|MI:0018(2 hybrid)	Uhrig et al. (2007)|Uhrig et al. (2007)	pubmed:17267444|pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0469(intact)|MI:0469(intact)	intact:EBI-1547676|intact:EBI-1547710	-	MI:0496(bait)|MI:0498(prey)	MI:0498(prey)|MI:0496(bait)	MI:0499(unspecified role)|MI:0499(unspecified role)	MI:0499(unspecified role)|MI:0499(unspecified role)	uniprotkb:Q8GXQ1	interpro:IPR015623|go:GO:0005515|interpro:IPR004000	MI:0326(protein)	MI:0326(protein)	yeast:4932|yeast:4932	-	-
uniprotkb:Q9SAF1|intact:EBI-1547641	uniprotkb:Q8S8M5|intact:EBI-1547655	uniprotkb:F3F19.20(gene name)	uniprotkb:ABIL1(gene name)	intact:ARP3|intact:At1g13180	intact:At2g46225	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1547665	-	MI:0498(prey)	MI:0496(bait)	MI:0499(unspecified role)	MI:0499(unspecified role)	interpro:IPR015623|go:GO:0005515|interpro:IPR004000	uniprotkb:Q8GWF6	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:Q9LSD6|intact:EBI-1547634	uniprotkb:Q8S8M5|intact:EBI-1547655	uniprotkb:ARP2(gene name)	uniprotkb:ABIL1(gene name)	intact:At3g27000	intact:At2g46225	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1547661	-	MI:0498(prey)	MI:0496(bait)	MI:0499(unspecified role)	MI:0499(unspecified role)	interpro:IPR004000|go:GO:0005515	uniprotkb:Q8GWF6	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:Q9LSD6|intact:EBI-1547634	uniprotkb:Q9SAF1|intact:EBI-1547641	uniprotkb:ARP2(gene name)	uniprotkb:F3F19.20(gene name)	intact:At3g27000	intact:ARP3|intact:At1g13180	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1547650	-	MI:0498(prey)	MI:0496(bait)	MI:0499(unspecified role)	MI:0499(unspecified role)	interpro:IPR004000|go:GO:0005515	interpro:IPR015623|go:GO:0005515|interpro:IPR004000	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
uniprotkb:Q6AWX6|intact:EBI-1547775	uniprotkb:O80764|intact:EBI-1547752	uniprotkb:SCAR1(gene name)	uniprotkb:T13D8.30(gene name)	intact:T14G11.27|intact:At2g34150	-	MI:0809(bifc)|MI:0018(2 hybrid)	Uhrig et al. (2007)|Uhrig et al. (2007)	pubmed:17267444|pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0469(intact)|MI:0469(intact)	intact:EBI-1568135|intact:EBI-1547789	-	MI:0497(neutral component)|MI:0496(bait)	MI:0497(neutral component)|MI:0498(prey)	MI:0499(unspecified role)|MI:0499(unspecified role)	MI:0499(unspecified role)|MI:0499(unspecified role)	uniprotkb:O22968|uniprotkb:Q56WS5|uniprotkb:Q5XPJ7|uniprotkb:Q84WP7	go:GO:0005856|go:GO:0030833|interpro:IPR007204	MI:0326(protein)	MI:0326(protein)	arath:3702|yeast:4932	-	-
uniprotkb:Q9XGU0|intact:EBI-1548051	uniprotkb:Q5XPJ9|intact:EBI-1547795	uniprotkb:ARAC9(gene name)	uniprotkb:SCAR2(gene name)	intact:ROP8|intact:F16B22.18|intact:At2g44690	intact:DIS3|intact:ITB1|intact:T19C21.7|intact:At2g38440	MI:0809(bifc)|MI:0018(2 hybrid)	Uhrig et al. (2007)|Uhrig et al. (2007)	pubmed:17267444|pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0469(intact)|MI:0469(intact)	intact:EBI-1568214|intact:EBI-1548103	-	MI:0496(bait)|MI:0496(bait)	MI:0498(prey)|MI:0498(prey)	MI:0499(unspecified role)|MI:0499(unspecified role)	MI:0499(unspecified role)|MI:0499(unspecified role)	interpro:IPR001806|interpro:IPR005225|uniprotkb:O80508|interpro:IPR003578|interpro:IPR013753	uniprotkb:O80907|interpro:IPR003124	MI:0326(protein)	MI:0326(protein)	arath:3702|yeast:4932	-	-
uniprotkb:Q5XPJ9|intact:EBI-1547795	uniprotkb:Q38903|intact:EBI-1548119	uniprotkb:SCAR2(gene name)	uniprotkb:ARAC2(gene name)	intact:DIS3|intact:ITB1|intact:T19C21.7|intact:At2g38440	intact:ROP7|intact:MCL19.1|intact:At5g45970	MI:0809(bifc)|MI:0018(2 hybrid)	Uhrig et al. (2007)|Uhrig et al. (2007)	pubmed:17267444|pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0469(intact)|MI:0469(intact)	intact:EBI-1568206|intact:EBI-1548130	-	MI:0497(neutral component)|MI:0496(bait)	MI:0497(neutral component)|MI:0498(prey)	MI:0499(unspecified role)|MI:0499(unspecified role)	MI:0499(unspecified role)|MI:0499(unspecified role)	uniprotkb:O80907|interpro:IPR003124	interpro:IPR003578|interpro:IPR013753|interpro:IPR001806|interpro:IPR005225	MI:0326(protein)	MI:0326(protein)	arath:3702|yeast:4932	-	-
uniprotkb:Q5S2C4|intact:EBI-1547830	uniprotkb:Q5S2C4|intact:EBI-1547830	uniprotkb:NAP1(gene name)	uniprotkb:NAP1(gene name)	intact:GRL|intact:NAP|intact:NAPP|intact:T4C15.22|intact:At2g35110	intact:GRL|intact:NAP|intact:NAPP|intact:T4C15.22|intact:At2g35110	MI:0018(2 hybrid)	Uhrig et al. (2007)	pubmed:17267444	taxid:3702(arath)	taxid:3702(arath)	MI:0218(physical interaction)	MI:0469(intact)	intact:EBI-1547853	-	MI:0498(prey)	MI:0496(bait)	MI:0499(unspecified role)	MI:0499(unspecified role)	uniprotkb:O82180|uniprotkb:Q66GU3|uniprotkb:Q6BDH4|go:GO:0005515	uniprotkb:O82180|uniprotkb:Q66GU3|uniprotkb:Q6BDH4|go:GO:0005515	MI:0326(protein)	MI:0326(protein)	yeast:4932	-	-
